ID_actividad,Fase,Nombre actividad,Descripcion,Fecha inicio,Fecha fin,Horas asignadas,Horas reales,Desviacion horaria,Peso pct,"Progreso_manual
(0–100)",Estado,Avance esperado,Diferencia,Alerta retraso,Aporte ponderado,Semana proyecto,Entregables_JSON,,Semana,Fecha inicio semana,Progreso real ponderado,Avance esperado semana,Diferencia semanal,Alerta Semanal
F1-00,Fase 1,Diseño y estructuración del modelo técnico de documentación,"Formulación y ajuste iterativo del modelo estructural de documentación para caracterización de herramientas de IA. Incluye definición de taxonomías (Naturaleza del aporte y Tipo tecnológico), diseño de ficha técnica, construcción de matrices comparativas y de aplicabilidad, estructuración del sistema de seguimiento, articulación del cronograma con el dashboard HTML, y correcciones sucesivas para garantizar coherencia metodológica, trazabilidad y compatibilidad con exportación CSV.",2026-02-18,2026-02-25,0,18,"18,0","0,00%",100,Completado,"100,0","0,0",En tiempo,"0,00",1,#VALUE!,,1,2026-02-16,"0,0","91,7","-91,7",Retraso crítico
F1-01,Fase 1,Levantamiento inicial de herramientas conocidas,Identificar y listar 6-8 herramientas de IA ya conocidas por el practicante,2026-02-16,2026-02-28,12,0,"-12,0","6,25%",0,No iniciado,"91,7","-91,7",Retraso crítico,"0,00",1,,,2,2026-02-23,"0,0","0,0","0,0",En tiempo
F1-02,Fase 1,Fichas técnicas lote 1 – herramientas conocidas,"Documentar funcionalidades, casos de uso, ventajas y limitaciones de 6-8 herramientas",2026-03-02,2026-03-14,20,0,"-20,0","10,42%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",3,,,3,2026-03-02,"0,0","0,0","0,0",En tiempo
F1-03,Fase 1,Investigación de herramientas adicionales,Investigar 4-5 herramientas nuevas no conocidas previamente,2026-03-02,2026-03-14,10,0,"-10,0","5,21%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",3,,,4,2026-03-09,"0,0","0,0","0,0",En tiempo
F1-04,Fase 1,Fichas técnicas lote 2 – herramientas nuevas,Documentar herramientas adicionales con el mismo formato de ficha técnica,2026-03-16,2026-03-21,12,0,"-12,0","6,25%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",5,,,5,2026-03-16,"0,0","0,0","0,0",En tiempo
F1-05,Fase 1,Clasificación por tipo tecnológico,"Clasificar todas las herramientas: ML, PLN, Sistemas Expertos, Deep Learning",2026-03-16,2026-03-21,8,0,"-8,0","4,17%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",5,,,6,2026-03-23,"0,0","0,0","0,0",En tiempo
F1-06,Fase 1,Evaluación de aplicabilidad a inversión pública,Evaluar pertinencia de cada herramienta para proyectos de inversión pública,2026-03-23,2026-03-28,10,0,"-10,0","5,21%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",6,,,7,2026-03-30,"0,0","0,0","0,0",En tiempo
F2-01,Fase 2,Análisis de procesos actuales de gestión de proyectos,Mapear procesos clave sin IA como línea base para los flujos propuestos,2026-03-30,2026-04-04,10,0,"-10,0","5,21%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",7,,,8,2026-04-06,"0,0","0,0","0,0",En tiempo
F2-02,Fase 2,Diagrama de flujo: coherencia en marcos lógicos,Flujo actual vs propuesto para análisis automático de coherencia en MML,2026-04-06,2026-04-11,14,0,"-14,0","7,29%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",8,,,9,2026-04-13,"0,0","0,0","0,0",En tiempo
F2-03,Fase 2,Diagrama de flujo: extracción de indicadores,Flujo actual vs propuesto para extracción automática de indicadores desde documentos técnicos,2026-04-13,2026-04-18,14,0,"-14,0","7,29%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",9,,,10,2026-04-20,"0,0","0,0","0,0",En tiempo
F2-04,Fase 2,Diagrama de flujo: verificación normativa MGA/DNP,Flujo actual vs propuesto para verificación de cumplimiento normativo MGA/DNP,2026-04-20,2026-04-25,14,0,"-14,0","7,29%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",10,,,11,2026-04-27,"0,0","0,0","0,0",En tiempo
